Timestamp,RMS_Volume,Zero_Crossing_Rate,Deteksi_Emosi
Timestamp,RMS_Volume,Zero_Crossing_Rate,Deteksi_Emosi
2026-01-26 10:00:00,150.5,50,HENING
2026-01-26 10:00:03,1240.2,900,SEDIH
2026-01-26 10:00:06,1350.8,850,SEDIH
2026-01-26 10:00:09,3500.0,2100,NORMAL
2026-01-26 10:00:12,6800.5,3500,MARAH/SEMANGAT
2026-01-26 10:00:15,7200.1,4100,MARAH/SEMANGAT
2026-01-26 10:00:18,2800.4,2200,NORMAL
2026-01-26 10:00:21,1100.3,780,SEDIH
2026-01-26 10:00:24,300.0,45,HENING
2026-01-26 10:00:27,250.0,40,HENING
